Quasar,ra,dec,redshift,redshift_reference,m1450,Mabs1450,redshift_mgii,redshift_mgii_err,redshift_mgii_ref,fwhm_mgii,fwhm_mgii_err_up,fwhm_mgii_err_low,L3000,L3000err_up,L3000err_low,BHmass,BHmass_reference
J103414.40+572226.00,158.56,57.373889,5.4,Steffen2004,23.58,-22.94,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J103436.86-123342.49,158.653594,-12.561803,5.51,Yang2019a,20.12,-26.44,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J103446.51-142515.89,158.693789,-14.421079,6.0685,Eilers2020,19.39,-27.32,6.055,0.002,Farina2022,2794,208,194,9.08,0.209709,0.201942,17.04,Farina2022
J103537.74+032435.70,158.90725,3.409917,6.63,Matsuoka2022,22.34,-24.51,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J103654.19-023237.94,159.225791,-2.543873,6.3809,Decarli2018,20.05,-26.74,6.351,0.003,Farina2022,4798,286,252,3.53,0.062136,0.062136,31.33,Farina2022
J103734.52+003750.80,159.393833,0.630778,6.11,Matsuoka2022,23.79,-22.93,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J103758.18+403328.74,159.492416,40.557984,6.07,Gloudemans2022,21.46,-25.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J104119.15+200824.00,160.329792,20.14,6.12,Wang2019b,20.65,-26.08,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J104311.09+011913.60,160.796208,1.320444,6.23,Matsuoka2022,24.02,-22.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J104320.45+013104.70,160.835208,1.517972,6.25,Matsuoka2022,22.57,-24.19,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J104429.18+010207.10,161.121583,1.035306,6.2,Matsuoka2022,23.46,-23.29,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J104433.04-012502.20,161.13767,-1.417278,5.7846,Venemans2020,19.31,-27.32,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J104740.91+041724.30,161.920458,4.290083,6.19,Matsuoka2022,23.31,-23.43,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J104819.08-010940.29,162.07951,-1.161192,6.6759,Venemans2020,20.9,-25.96,6.64,0.008,Farina2022,4703,620,635,2.05,0.058252,0.058252,22.94,Farina2022
J104836.74+333947.66,162.153083,33.663239,5.61,Yang2019a,19.58,-27.01,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
